title,rooms,size_m2,monthly_rent
2 STORE VÆRELSER - DEJLIG STUE KØKKEN/ALRUM - HAVE - PARKERING ,3.0,80.0,10095.0
 2 STORE VÆRELSER - DEJLIG STUE KØKKEN/ALRUM - HAVE - PARKERING ,3.0,80.0,10095.0
Moderne og stemningsfulde boliger i hjertet af Trøjborg,4.0,108.0,17800.0
Moderne og stemningsfulde boliger i hjertet af Trøjborg,4.0,109.0,17200.0
Moderne og stemningsfulde boliger i hjertet af Trøjborg,1.0,44.0,7500.0
"3 værelses bolig, i smukke omgivelser i Risskov",3.0,106.0,13427.0
Moderne boliger i smukke omgivelser,3.0,84.0,12395.0
Moderne boliger i smukke omgivelser,3.0,83.0,12195.0
Moderne boliger i smukke omgivelser,2.0,65.0,9595.0
"Sjældent udbudt 3-værelses ud til roligt villakvarter, hvor parkering stilles til rådighed!!",3.0,75.0,8800.0
Moderne boliger i smukke omgivelser,3.0,84.0,12695.0
Moderne boliger i smukke omgivelser,1.0,45.0,7195.0
Moderne boliger i smukke omgivelser,4.0,119.0,16895.0
Stor altan og kun 15 min. fra Aarhus C,3.0,74.0,8950.0
VELINDRETTET 2-VÆRELSES I RISSKOV BRYNET,2.0,46.0,7900.0
2 værelses lejlighed på Onsholtvej i Viby J udlejes,2.0,62.0,6820.0
Enestående lejlighed ved Egå Marina,3.0,103.0,14000.0
LÆKKER 2-VÆRELSES MED EGEN ALTAN - TILST,2.0,42.0,6695.0
